,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
16,12,304,339,9777.22494140625,11325.2958984375,18576.851484375,0.15833439102696878,2020-07-24,2020-08-28,35 days
17,-12,339,363,11098.78998046875,10934.92578125,1966.370390624994,0.014764149921488001,2020-08-28,2020-09-21,24 days
18,12,363,372,11153.624296875,10843.87109375,-3717.038437499992,-0.02777152922496995,2020-09-21,2020-09-30,9 days
19,-12,372,381,10626.993671875,10927.9130859375,-3611.0329687500052,-0.02831651390354195,2020-09-30,2020-10-09,9 days
20,12,381,486,11146.47134765625,30817.625,236053.84382812498,1.7647875313006542,2020-10-09,2021-01-22,105 days
21,-12,486,500,30201.2725,36931.546875,-80763.29250000001,-0.22284737754013517,2021-01-22,2021-02-05,14 days
22,7,500,526,37670.1778125,48415.81640625,75219.47015625001,0.28525585005824694,2021-02-05,2021-03-03,26 days
23,-7,526,534,47447.500078125,55963.1796875,-59609.75726562501,-0.17947583319149496,2021-03-03,2021-03-11,8 days
24,5,534,550,57082.44328125,55137.56640625,-9724.384375000009,-0.03407136701240043,2021-03-11,2021-03-27,16 days
25,-5,550,558,54034.815078125,57604.83984375,-17850.123828124997,-0.06606897350279373,2021-03-27,2021-04-04,8 days
26,4,558,578,58756.936640625005,51143.2265625,-30454.84031250002,-0.1295797656146156,2021-04-04,2021-04-24,20 days
27,-4,578,590,50120.36203125,57441.30859375,-29283.786250000005,-0.14606731208237078,2021-04-24,2021-05-06,12 days
28,3,590,600,58590.134765625,46716.63671875,-35620.494140625,-0.20265353705656974,2021-05-06,2021-05-16,10 days
29,-3,600,631,45782.303984375,40168.69140625,16840.837734375003,0.12261533583021211,2021-05-16,2021-06-16,31 days
30,4,631,640,40972.065234375,34659.10546875,-25251.83906249999,-0.15407960837494006,2021-06-16,2021-06-25,9 days
31,-5,640,652,33965.923359374996,34225.6796875,-1298.7816406250204,-0.007647556799109001,2021-06-25,2021-07-07,12 days
32,4,652,658,34910.19328125,33125.46875,-7138.898125000007,-0.0511233070774364,2021-07-07,2021-07-13,6 days
33,-5,658,673,32462.959375,39503.1875,-35201.14062500001,-0.21686957260038775,2021-07-13,2021-07-28,15 days
34,3,673,720,40293.25125,46057.21484375,17291.890781249997,0.14305034751322032,2021-07-28,2021-09-13,47 days
35,-3,720,743,45136.070546875,51486.6640625,-19051.780546874994,-0.14069885656151082,2021-09-13,2021-10-06,23 days
36,2,743,770,52516.39734375,60963.25390625,16893.713124999995,0.16084227002873908,2021-10-06,2021-11-02,27 days
37,-2,770,776,59743.988828125,63344.06640625,-7200.155156249995,-0.06025840672409588,2021-11-02,2021-11-08,6 days
38,2,776,788,64610.947734375004,58115.08203125,-12991.731406250008,-0.10053815848407688,2021-11-08,2021-11-20,12 days
39,-2,788,825,56952.780390625,50802.609375,12300.342031249995,0.1079871952421374,2021-11-20,2021-12-27,37 days
40,2,825,833,51818.6615625,46458.8515625,-10719.619999999995,-0.10343397220971007,2021-12-27,2022-01-04,8 days
41,-2,833,867,45529.67453125,42406.78125,6245.786562499998,0.06859028344484541,2022-01-04,2022-02-07,34 days
42,3,867,882,43254.916875,37068.76953125,-18558.442031250008,-0.14301604975052917,2022-02-07,2022-02-22,15 days
43,-3,882,894,36327.394140625,39404.19921875,-9230.415234374996,-0.08469655341130577,2022-02-22,2022-03-06,12 days
