CO_CODE,CO_NAME,F&O,[ISIN No,Current Live Rating,Current Live Restricted,As per new Rules,As per new Rules - Restricted,New Rules Rating (ex Symbol),New Rules Rating (ex Symbol) Restricted,New Rules Rating (ex ADTO),New Rules Rating (ex ADTO) Restricted,"New Rules Rating (ex Symbol, ex ADTO)",New Rules - Quick Rating,Poor_Reasons_Count,Percent_Funding,BSE_VAR_pct,NSE_VAR_pct,ANGEL_VAR_pct,Poor_Reasons,New Rules Restricted Reason,Mcap,[Total Shareholders Funds (Latest)],Revenue- Latest FY,6M Median ADTO in Rs crs,PET Check,F-Score,Promoter Pledge%,Impact Cost,BSE Series,NSE Series,Nifty 500,Aug 2025_ADTO in Rs crs,Sep 2025_ADTO in Rs crs,Oct 2025_ADTO in Rs crs,Poor_Alz_Manual,Poor_Alz_Manual_Comments,Poor_to_Avg_Manual,Good_BC_to_Avg_Manual,Manual_Rating,Rating v1 (as per rules),Latest_3M_ADTO_above_thresh,All Conditions Met (Except Size) + 50% of Average Size Criteria Met,Meeting Size Criteria_Poor,Size Exception for Poor to Average,"All Conditions of Good Met (Except ""Good"" Size)",Size Criteria_Average,Size Exception for Average to Good,ADTO_Wipsaw_Upgrade,Rating v2 (V1 wo adj for whipsaw),Rating v2 (V1 adj for whipsaw),MTF_VAR_pct,As per old Rules,As per old Rules - Restricted
554,Tata Power Co.,F&O,INE245A01021,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.665670971,14.03,14.05,14.05,,,129427.23,35840.67,65478.24,222.4744908,PET Good,F-Check Passed,0,0.02,A,EQ,Nifty 500,197.1244736,161.9563176,209.5688624,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,21.06,Bluechip,
557,Tata Consumer,F&O,INE192A01025,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.12140769,12.5,12.5,12.5,,,115291.81,20001.08,17618.3,136.4599744,PET Good,F-Check Passed,0,0.02,A,EQ,Nifty 500,86.140263,141.9206572,136.6326012,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,19.5,Bluechip,
560,Tata Motors PVeh,F&O,INE155A01022,Bluechip,-,Good,,Good,,Good,,Good,Bluechip,0,1.144341456,15.1,15.07,15.1,,,151012.41,116144,439695,886.9256256,,F-Check Passed,0,0.02,A,EQ,Nifty 500,796.7528,849.3421056,989.7219136,,,,,Good,Good,3,,,,,,,,Good,Good,22.1,Bluechip,
566,Tata Steel,F&O,INE081A01020,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.396111585,14.57,14.59,14.59,,,228391.03,91169.63,218542.51,394.9572144,PET Good,F-Check Passed,0,0.02,A,EQ,Nifty 500,377.7443312,402.6319824,511.1530464,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,21.62,Bluechip,
597,Voltas,F&O,INE226A01021,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.076410204,15.89,15.91,15.91,,,45801.07,6513.25,15412.79,162.3397179,PET Good,F-Check Passed,0,0.03,A,EQ,Nifty 500,152.791554,152.9938502,171.6855856,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,22.89,Bluechip,
614,Wipro,F&O,INE075A01022,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.739100488,14.06,13.59,14.06,,,252294.46,82830.9,89088.4,246.3418924,PET Good,F-Check Passed,0,0.02,A,EQ,Nifty 500,216.1621544,213.4241304,257.44736,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,20.61,Bluechip,
636,Apollo Hospitals,F&O,INE437A01024,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.057211912,12.5,12.5,12.5,,,110420.15,10657.4,21794,286.7899256,PET Good,F-Check Passed,8.58,0.02,A,EQ,Nifty 500,412.3376704,216.681146,250.604856,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,19.5,Bluechip,
704,Patanjali Foods,F&O,INE619A01035,Average,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.021304968,14.79,14.58,30,,,65547.09,11370.89,34156.97,117.6500446,PET Good,F-Check Passed,0,0.05,A,EQ,Nifty 500,98.2308308,72.6436768,47.8479852,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,35,Bluechip,
815,Dr Reddy's Labs,F&O,INE089A01031,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.259030764,12.5,12.5,12.5,,,99965.86,33549.6,32643.9,215.9315052,PET Good,F-Check Passed,0,0.02,A,EQ,Nifty 500,204.0684744,192.4232776,323.1727488,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,19.5,Bluechip,
1016,Titan Company,F&O,INE280A01028,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.180585782,12.5,12.5,12.5,,,332493.67,11624,60456,331.6470776,PET Good,F-Check Passed,0,0.02,A,EQ,Nifty 500,265.7854024,402.8253648,418.993072,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,19.5,Bluechip,
1189,HFCL,F&O,INE548A01028,Average,-,Poor,,Poor,,Poor,,Poor,Good,1,0.127704887,21.67,21.67,30,Promoter Pledge%,,10606.53,4079.15,4064.52,130.6503604,PET Good,F-Check Passed,56.93,0.05,A,EQ,Nifty 500,65.0863604,154.076048,107.2246728,,,,,Poor,Poor,3,No,3,,,,,,Poor,Poor,35,Good,
1375,SBI,F&O,INE062A01020,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.472845344,12.5,12.5,12.5,,,864908.87,487036.76,490937.79,892.7917312,PET Good,F-Check Passed,0,0.01,A,EQ,Nifty 500,687.1867616,788.5295168,979.758912,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,19.5,Bluechip,
1745,Shriram Finance,F&O,INE721A01047,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.16801842,16.8,16.9,16.9,,,140857.38,56469.82,43940.61,407.2808992,PET Good,F-Check Passed,0,0.03,A,EQ,Nifty 500,397.4161648,307.3790976,472.44096,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,23.92,Bluechip,
2163,Cholaman.Inv.&Fn,F&O,INE121A01024,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.070563304,16.22,16.22,16.22,,,143182.83,23668.69,25889.77,251.7340076,PET Good,F-Check Passed,0,0.03,A,EQ,Nifty 500,236.0012724,239.2554112,264.212604,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,23.25,Bluechip,
2290,B P C L,F&O,INE029A01011,Bluechip,-,Good,,Good,,Good,,Good,Bluechip,0,0.148863437,14.54,14.52,14.54,,,154797.88,81384.08,440271.86,235.7947408,,F-Check Passed,0,0.03,A,EQ,Nifty 500,200.5689224,207.434084,277.9102024,,,,,Good,Good,3,,,,,,,,Good,Good,21.55,Bluechip,
2298,Bharat Electron,F&O,INE263A01024,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,1.098336933,15.89,15.92,15.92,,,311506.22,19973.89,23768.75,659.4452688,PET Good,F-Check Passed,0,0.02,A,EQ,Nifty 500,479.5128768,640.1316256,640.3307456,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,22.82,Bluechip,
2299,S A I L,F&O,INE114A01011,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.273290693,18.56,18.58,18.58,,,56650.15,58905.61,102479.06,172.9788732,PET Good,F-Check Passed,0,0.03,A,EQ,Nifty 500,108.342346,152.4986472,382.408,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,25.63,Bluechip,
2304,Natl. Aluminium,F&O,INE139A01034,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.264608469,19.39,19.31,19.39,,,42995.55,17805.44,16787.63,198.2114476,PET Good,F-Check Passed,0,0.03,A,EQ,Nifty 500,103.2537588,202.6981232,285.4174224,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,26.34,Bluechip,
2305,H P C L,F&O,INE094A01015,Bluechip,-,Good,,Good,,Good,,Good,Bluechip,0,0.104464513,17.1,17,17.1,,,101284.35,51144.29,434106.17,230.7999888,,F-Check Passed,0,0.03,A,EQ,Nifty 500,218.2157144,144.1131716,243.3842632,,,,,Good,Good,3,,,,,,,,Good,Good,24.02,Bluechip,
