CO_CODE,CO_NAME,[ISIN_No,Current_Live_Rating,Current_Live_Restricted,As_per_new_Rules,As_per_new_Rules_-_Restricted,New_Rules_Rating_(ex_Symbol),New_Rules_Rating_(ex_Symbol)_Restricted,New_Rules_Rating_(ex_ADTO),New_Rules_Rating_(ex_ADTO)_Restricted,"New_Rules_Rating_(ex_Symbol,_ex_ADTO)",New_Rules_-_Quick_Rating,Poor_Reasons_Count,Percent_Funding,BSE_VAR_pct,NSE_VAR_pct,ANGEL_VAR_pct,Poor_Reasons,New_Rules_Restricted_Reason,Mcap,[Total_Shareholders_Funds_(Latest)],Revenue-_Latest_FY,Median6M_ADTO_in_Rs_crs,PET_Check,F-Score,Promoter_Pledge%,Impact_Cost,BSE_Series,NSE_Series,Aug_2025_ADTO_in_Rs_crs,Sep_2025_ADTO_in_Rs_crs,Oct_2025_ADTO_in_Rs_crs,Poor_Alz_Manual,Poor_Alz_Manual_Comments,Poor_to_Avg_Manual,Good_BC_to_Avg_Manual,Manual_Rating,BSE_symbol_downgrade?,NSE_symbol_downgrade?,Market_Cap/ISIN,Rating_v1_(as_per_rules),Restricted,Latest_3M_ADTO_above_thresh,All_Conditions_Met_(Except_Size)_+_50%_of_Average_Size_Criteria_Met,Meeting_Size_Criteria_Poor,Size_Exception_for_Poor_to_Average,"All_Conditions_of_Good_Met_(Except_""Good""_Size)",Size_Criteria_Average,Size_Exception_for_Average_to_Good,All_conditions_met_Except_ADTO,Size_Criteria_for_ADTO_Upgrade,ADTO_>_0.5_Cr,ADTO_Upgrade_(Poor_to_Average),ADTO_Wipsaw_Upgrade,Rating_v2_(V1_wo_adj_for_whipsaw),Rating_v2_(V1_adj_for_whipsaw),Last_Trading_Date?,Not_traded?,MTF_VAR_pct,As_per_old_Rules,As_per_old_Rules_-_Restricted
28220,Citichem India,INE0A8401016,Poor,-,Poor,Restricted,Poor,,Poor,,Poor,Poor,6,,53.5,53.5,100,"Mcap , Shareholders Fund , ADTO in Cr , Rev , PET Check , BSE symbol downgrade",ADTO in Cr,20.03,20.1,54.37,0.015193594,,F-Check Passed,0,,M,,0.009013111,0.015282588,0.01603525,,,,,Poor,Yes,No,No,Poor,Restricted,0,No,0,,,,,No,0,No,,,Poor,Poor,31/10/2025,No,0,Poor,Restricted
28229,Edelweiss.Fin.,INE532F01054,Good,-,Average,,Average,,Average,,Average,Good,0,0.117979008,24.05,23.43,24.05,,,10752.32,4424.74,9414.77,79.3205796,,F-Check Passed,0,0.08,A,EQ,113.7971508,108.01048,64.917424,,,,,Average,No,No,No,Average,,3,,,,No,3,,,,,,,Average,Average,31/10/2025,No,37.47,Poor,
28239,Somi Conv.Belt.,INE323J01019,Poor,-,Poor,,Poor,,Poor,,Poor,Poor,3,,27.89,27.88,100,"Shareholders Fund , ADTO in Cr , Rev",,187.83,76.54,101.24,0.330451301,PET Good,F-Check Passed,0,0.93,B,EQ,0.190125982,0.20721215,0.539037538,,,,,Poor,No,No,No,Poor,,0,No,1,,,,,No,0,No,,,Poor,Poor,31/10/2025,No,0,Poor,
28243,Mold-Tek Pack.,INE893J01029,Average,-,Average,,Average,,Average,,Average,Average,0,0.005793737,16.54,16.53,30,,,2311.74,637.9,781.32,6.8822595,PET Good,F-Check Passed,2.27,0.12,B,EQ,10.5999174,6.9500341,5.690519775,,,,,Average,No,No,No,Average,,3,,,,Yes,1,,,,,,,Average,Average,31/10/2025,No,35,Good,
28258,Kriti Nutrients,INE798K01010,Poor,-,Poor,,Poor,,Average,,Average,Average,1,,23.85,23.5,100,ADTO in Cr,,438.36,211.86,734.34,0.208482621,PET Good,F-Check Passed,0,0.5,B,EQ,0.142211606,0.227445084,0.174140883,,,,,Poor,No,No,No,Poor,,0,No,3,,,,,Yes,2,No,,,Poor,Poor,31/10/2025,No,0,Average,
28290,PTC India Fin,INE560K01014,Poor,-,Poor,,Average,,Average,,Average,Average,0,,21.65,21.65,100,,,2335.98,2754.32,637.93,3.81788585,PET Good,F-Check Passed,0,0.14,B,EQ,2.238706988,1.930238188,16.4130504,Downgraded_to_Poor,https://economictimes.indiatimes.com/markets/stocks/news/sebi-roc-to-now-probe-alleged-wrongdoings-at-ptc-india-fin/articleshow/100432201.cms,,,Poor,No,No,No,Average,,3,,,,No,2,,,,,,,Average,Average,31/10/2025,No,0,Good,
28291,Khadim India,INE834I01025,Poor,-,Poor,,Poor,,Average,,Average,Average,1,,22.33,21.7,100,ADTO in Cr,,457.62,251.35,418.03,1.183152617,PET Good,F-Check Passed,0,0.45,B,EQ,0.588955122,2.9674256,0.581019856,Downgraded_to_Poor,No other broker giving leverage,,,Poor,No,No,No,Poor,,1,No,3,,,,,Yes,1,Yes,,,Poor,Poor,31/10/2025,No,0,Average,
28292,Cords Cable,INE792I01017,Poor,-,Poor,,Poor,,Average,,Average,Average,1,,23.42,23.41,100,ADTO in Cr,,250.35,182.49,794.56,0.757309303,PET Good,F-Check Passed,0,0.38,B,EQ,0.548240344,0.313560841,0.5790909,,,,,Poor,No,No,No,Poor,,0,No,3,,,,,Yes,1,Yes,,,Poor,Poor,31/10/2025,No,0,Average,
28293,eClerx Services,INE738I01010,Good,-,Good,,Good,,Good,,Good,Good,0,0.024191769,19.65,19.7,19.7,,,23209.1,2305.76,3365.87,49.7438573,PET Good,F-Check Passed,0,0.08,A,EQ,86.45617,52.4124584,92.1112292,,,,,Good,No,No,No,Good,,3,,,,,,,,,,,,Good,Good,31/10/2025,No,33.74,Good,
28294,Brigade Enterpr.,INE791I01019,Good,-,Good,,Good,,Good,,Good,Good,0,0.033006517,17.68,17.68,17.68,,,25404.59,5638.54,5074.21,43.388831,PET Good,F-Check Passed,0,0.07,A,EQ,43.4869176,36.3371812,43.2907444,,,,,Good,No,No,No,Good,,3,,,,,,,,,,,,Good,Good,31/10/2025,No,31.72,Good,
