,Scheme Name,Tag
25,BHARAT Bond ETF - April 2032,OtherTag
26,BHARAT Bond ETF - April 2033,OtherTag
27,Bajaj Finserv Nifty 1D Rate Liquid ETF - Growth,"['Good', '90percent rev_repo']"
28,Bajaj Finserv Nifty 50 ETF,"['Bluechip/Good', '70percent bluechip in equity']"
29,Bajaj Finserv Nifty Bank ETF,"['Good', '75percent bluechip and good in equity']"
30,Bandhan Nifty 50 ETF,"['Bluechip/Good', '70percent bluechip in equity']"
31,Baroda BNP Paribas Gold ETF,"['Good', '90percent gold']"
32,Baroda BNP Paribas NIFTY Bank ETF,"['Good', '75percent bluechip and good in equity']"
33,Bharat 22 ETF,"['Bluechip/Good', '70percent bluechip in equity']"
34,CPSE ETF,"['Bluechip/Good', '70percent bluechip in equity']"
35,DSP BSE Liquid Rate ETF,"['Good', '90percent rev_repo']"
36,DSP BSE SENSEX Next 30 ETF,"['Bluechip/Good', '70percent bluechip in equity']"
37,DSP BSE Sensex ETF,"['Bluechip/Good', '70percent bluechip in equity']"
38,DSP Gold ETF,"['Good', '90percent gold']"
39,DSP NIFTY 1D Rate Liquid ETF,"['Good', '90percent rev_repo']"
40,DSP Nifty 50 ETF,"['Bluechip/Good', '70percent bluechip in equity']"
41,DSP Nifty 50 Equal Weight ETF,"['Bluechip/Good', '70percent bluechip in equity']"
42,DSP Nifty Bank ETF,"['Good', '75percent bluechip and good in equity']"
43,DSP Nifty IT ETF,"['Bluechip/Good', '70percent bluechip in equity']"
44,DSP Nifty Midcap 150 Quality 50 ETF,"['Good', '75percent bluechip and good in equity']"
45,DSP Nifty PSU Bank ETF,"['Bluechip/Good', '70percent bluechip in equity']"
46,DSP Nifty Private Bank ETF,"['Bluechip/Good', '70percent bluechip in equity']"
47,DSP Nifty Top 10 Equal Weight ETF,"['Bluechip/Good', '70percent bluechip in equity']"
48,DSP Silver ETF,"['notag', '90percent Silver']"
49,Edelweiss Gold ETF,"['Good', '90percent gold']"
50,Edelweiss Nifty500 Multicap Momentum Quality 50 ETF,"['Good', '75percent bluechip and good in equity']"
51,Edelweiss Silver ETF,"['notag', '90percent Silver']"
52,Groww Gold ETF,"['Good', '90percent gold']"
53,Groww Nifty 1D Rate Liquid ETF,"['Good', '90percent rev_repo']"
54,Groww Nifty 200 ETF,"['Bluechip/Good', '70percent bluechip in equity']"
55,Groww Nifty 500 Momentum 50 ETF,"['Good', '75percent bluechip and good in equity']"
56,Groww Nifty EV & New Age Automotive ETF,"['Good', '75percent bluechip and good in equity']"
57,Groww Nifty India Defence ETF,"['Good', '75percent bluechip and good in equity']"
58,Groww Nifty India Railways PSU ETF,"['Good', '75percent bluechip and good in equity']"
59,Groww Silver ETF,"['notag', '90percent Silver']"
60,HDFC BSE 500 ETF,"['Good', '75percent bluechip and good in equity']"
61,HDFC BSE SENSEX ETF,"['Bluechip/Good', '70percent bluechip in equity']"
62,HDFC Gold ETF,"['Good', '90percent gold']"
63,HDFC NIFTY 100 ETF,"['Bluechip/Good', '70percent bluechip in equity']"
64,HDFC NIFTY 1D Rate Liquid ETF - Growth,"['Good', '90percent rev_repo']"
65,HDFC NIFTY Bank ETF,"['Good', '75percent bluechip and good in equity']"
66,HDFC NIFTY Growth Sectors 15 ETF,"['Bluechip/Good', '70percent bluechip in equity']"
67,HDFC NIFTY IT ETF,"['Bluechip/Good', '70percent bluechip in equity']"
68,HDFC NIFTY Midcap 150 ETF,"['Good', '75percent bluechip and good in equity']"
69,HDFC NIFTY NEXT 50 ETF,"['Bluechip/Good', '70percent bluechip in equity']"
70,HDFC NIFTY PSU BANK ETF,"['Bluechip/Good', '70percent bluechip in equity']"
71,HDFC NIFTY Private Bank ETF,"['Bluechip/Good', '70percent bluechip in equity']"
72,HDFC NIFTY Smallcap 250 ETF,"['Good', '75percent bluechip and good in equity']"
73,HDFC NIFTY100 Low Volatility 30 ETF,"['Bluechip/Good', '70percent bluechip in equity']"
74,HDFC NIFTY200 Momentum 30 ETF,"['Bluechip/Good', '70percent bluechip in equity']"
75,HDFC NIFTY50 Value 20 ETF,"['Bluechip/Good', '70percent bluechip in equity']"
76,HDFC Nifty 50 ETF,"['Bluechip/Good', '70percent bluechip in equity']"
77,HDFC Silver ETF,"['notag', '90percent Silver']"
78,ICICI Pru BSE 500 ETF,"['Good', '75percent bluechip and good in equity']"
79,ICICI Pru BSE Liquid Rate ETF - Growth,"['Good', '90percent rev_repo']"
80,ICICI Pru BSE Liquid Rate ETF - IDCW,"['Good', '90percent rev_repo']"
81,ICICI Pru BSE Midcap Select ETF,"['Bluechip/Good', '70percent bluechip in equity']"
82,ICICI Pru BSE Sensex ETF,"['Bluechip/Good', '70percent bluechip in equity']"
83,ICICI Pru Gold ETF,"['Good', '90percent gold']"
84,ICICI Pru Nifty 10 yr Benchmark G-Sec ETF,"['Good', '90percent gsec']"
85,ICICI Pru Nifty 100 ETF,"['Bluechip/Good', '70percent bluechip in equity']"
86,ICICI Pru Nifty 100 Low Volatility 30 ETF,"['Bluechip/Good', '70percent bluechip in equity']"
87,ICICI Pru Nifty 200 Momentum 30 ETF,"['Bluechip/Good', '70percent bluechip in equity']"
88,ICICI Pru Nifty 200 Quality 30 ETF,"['Bluechip/Good', '70percent bluechip in equity']"
89,ICICI Pru Nifty 5 yr Benchmark G-Sec ETF,"['Good', '90percent gsec']"
90,ICICI Pru Nifty 50 ETF,"['Bluechip/Good', '70percent bluechip in equity']"
91,ICICI Pru Nifty 50 Value 20 ETF,"['Bluechip/Good', '70percent bluechip in equity']"
92,ICICI Pru Nifty Alpha Low - Volatility 30 ETF,"['Bluechip/Good', '70percent bluechip in equity']"
93,ICICI Pru Nifty Auto ETF,"['Bluechip/Good', '70percent bluechip in equity']"
94,ICICI Pru Nifty Bank ETF,"['Good', '75percent bluechip and good in equity']"
95,ICICI Pru Nifty Commodities ETF,"['Bluechip/Good', '70percent bluechip in equity']"
96,ICICI Pru Nifty EV & New Age Automotive ETF,"['Good', '75percent bluechip and good in equity']"
97,ICICI Pru Nifty FMCG ETF,"['Bluechip/Good', '70percent bluechip in equity']"
98,ICICI Pru Nifty Financial Services Ex-Bank ETF,"['Good', '75percent bluechip and good in equity']"
99,ICICI Pru Nifty Healthcare ETF,"['Bluechip/Good', '70percent bluechip in equity']"
100,ICICI Pru Nifty IT ETF,"['Bluechip/Good', '70percent bluechip in equity']"
101,ICICI Pru Nifty India Consumption ETF,"['Bluechip/Good', '70percent bluechip in equity']"
102,ICICI Pru Nifty Infrastructure ETF,"['Bluechip/Good', '70percent bluechip in equity']"
103,ICICI Pru Nifty Metal ETF,"['Good', '75percent bluechip and good in equity']"
104,ICICI Pru Nifty Midcap 150 ETF,"['Good', '75percent bluechip and good in equity']"
105,ICICI Pru Nifty Next 50 ETF,"['Bluechip/Good', '70percent bluechip in equity']"
106,ICICI Pru Nifty Oil & Gas ETF,"['Bluechip/Good', '70percent bluechip in equity']"
107,ICICI Pru Nifty PSU Bank ETF,"['Bluechip/Good', '70percent bluechip in equity']"
108,ICICI Pru Nifty Private Bank ETF,"['Bluechip/Good', '70percent bluechip in equity']"
109,ICICI Pru Nifty Top 15 Equal Weight ETF,"['Bluechip/Good', '70percent bluechip in equity']"
110,ICICI Pru Nifty200 Value 30 ETF,"['Bluechip/Good', '70percent bluechip in equity']"
111,ICICI Pru Silver ETF,"['notag', '90percent Silver']"
112,Invesco India Gold ETF,"['Good', '90percent gold']"
113,Kotak GOLD ETF,"['Good', '90percent gold']"
114,Kotak MSCI India ETF,"['Bluechip/Good', '70percent bluechip in equity']"
115,Kotak Nifty 100 Equal Weight ETF,"['Bluechip/Good', '70percent bluechip in equity']"
116,Kotak Nifty 100 Low Volatility 30 ETF,"['Bluechip/Good', '70percent bluechip in equity']"
117,Kotak Nifty 1D Rate Liquid ETF,"['Good', '90percent rev_repo']"
118,Kotak Nifty 50 ETF,"['Bluechip/Good', '70percent bluechip in equity']"
119,Kotak Nifty 50 Value 20 ETF,"['Bluechip/Good', '70percent bluechip in equity']"
120,Kotak Nifty Alpha 50 ETF,"['Good', '75percent bluechip and good in equity']"
121,Kotak Nifty Bank ETF,"['Good', '75percent bluechip and good in equity']"
122,Kotak Nifty IT ETF,"['Bluechip/Good', '70percent bluechip in equity']"
123,Kotak Nifty MNC ETF,"['Good', '75percent bluechip and good in equity']"
124,Kotak Nifty Midcap 150 ETF,"['Good', '75percent bluechip and good in equity']"
125,Kotak Nifty Midcap 50 ETF,"['Good', '75percent bluechip and good in equity']"
126,Kotak Nifty PSU Bank ETF,"['Bluechip/Good', '70percent bluechip in equity']"
127,Kotak Silver ETF,"['notag', '90percent Silver']"
128,LIC MF Gold ETF,"['Good', '90percent gold']"
129,LIC MF Nifty 50 ETF,"['Bluechip/Good', '70percent bluechip in equity']"
130,LIC MF Nifty 8-13 yr G-Sec ETF,"['Good', '90percent gsec']"
131,Mirae Asset BSE 200 Equal Weight ETF,"['Good', '75percent bluechip and good in equity']"
132,Mirae Asset BSE Select IPO ETF,"['Good', '75percent bluechip and good in equity']"
133,Mirae Asset BSE Sensex ETF,"['Bluechip/Good', '70percent bluechip in equity']"
134,Mirae Asset Gold ETF,"['Good', '90percent gold']"
135,Mirae Asset Hang Seng TECH ETF,"['Average', '90percent Foreign Equity']"
136,Mirae Asset NYSE FANG+ ETF,"['Average', '90percent Foreign Equity']"
137,Mirae Asset Nifty 100 ESG Sector Leaders ETF,"['Bluechip/Good', '70percent bluechip in equity']"
138,Mirae Asset Nifty 1D Rate Liquid ETF - Growth,"['Good', '90percent rev_repo']"
139,Mirae Asset Nifty 1D Rate Liquid ETF-IDCW,"['Good', '90percent rev_repo']"
140,Mirae Asset Nifty 200 Alpha 30 ETF,"['Bluechip/Good', '70percent bluechip in equity']"
141,Mirae Asset Nifty 50 ETF,"['Bluechip/Good', '70percent bluechip in equity']"
142,Mirae Asset Nifty 8-13 yr G-Sec ETF,"['Good', '90percent gsec']"
143,Mirae Asset Nifty Bank ETF,"['Good', '75percent bluechip and good in equity']"
144,Mirae Asset Nifty EV and New Age Automotive ETF,"['Good', '75percent bluechip and good in equity']"
145,Mirae Asset Nifty Financial Services ETF,"['Good', '75percent bluechip and good in equity']"
146,Mirae Asset Nifty IT ETF,"['Bluechip/Good', '70percent bluechip in equity']"
147,Mirae Asset Nifty India Internet ETF,"['Good', '75percent bluechip and good in equity']"
148,Mirae Asset Nifty India Manufacturing ETF,"['Bluechip/Good', '70percent bluechip in equity']"
149,Mirae Asset Nifty India New Age Consumption ETF,"['Good', '75percent bluechip and good in equity']"
150,Mirae Asset Nifty Metal ETF,"['Good', '75percent bluechip and good in equity']"
151,Mirae Asset Nifty MidSmallcap400 Momentum Quality 100 ETF,"['Good', '75percent bluechip and good in equity']"
152,Mirae Asset Nifty Midcap 150 ETF,"['Good', '75percent bluechip and good in equity']"
153,Mirae Asset Nifty Next 50 ETF,"['Bluechip/Good', '70percent bluechip in equity']"
154,Mirae Asset Nifty PSU Bank ETF,"['Bluechip/Good', '70percent bluechip in equity']"
155,Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF,"['Good', '75percent bluechip and good in equity']"
156,Mirae Asset Nifty500 Multicap 50:25:25 ETF,"['Good', '75percent bluechip and good in equity']"
157,Mirae Asset S&P 500 Top 50 ETF,"['Average', '90percent Foreign Equity']"
158,Mirae Asset Silver ETF,"['notag', '90percent Silver']"
159,Motilal Oswal BSE Enhanced Value ETF,"['Good', '75percent bluechip and good in equity']"
160,Motilal Oswal BSE Healthcare ETF,"['Good', '75percent bluechip and good in equity']"
161,Motilal Oswal BSE Low Volatility ETF,"['Bluechip/Good', '70percent bluechip in equity']"
162,Motilal Oswal NASDAQ-100 ETF,"['Average', '90percent Foreign Equity']"
163,Motilal Oswal Nasdaq Q 50 ETF,"['Average', '90percent Foreign Equity']"
164,Motilal Oswal Nifty 200 Momentum 30 ETF,"['Bluechip/Good', '70percent bluechip in equity']"
165,Motilal Oswal Nifty 5 Year Benchmark G-Sec ETF,"['Good', '90percent gsec']"
166,Motilal Oswal Nifty 50 ETF,"['Bluechip/Good', '70percent bluechip in equity']"
167,Motilal Oswal Nifty 50 Equal Weight ETF,"['Bluechip/Good', '70percent bluechip in equity']"
168,Motilal Oswal Nifty 500 ETF,"['Good', '75percent bluechip and good in equity']"
169,Motilal Oswal Nifty 500 Momentum 50 ETF,"['Good', '75percent bluechip and good in equity']"
170,Motilal Oswal Nifty India Defence ETF,"['Good', '75percent bluechip and good in equity']"
171,Motilal Oswal Nifty Midcap 100 ETF,"['Good', '75percent bluechip and good in equity']"
172,Motilal Oswal Nifty Realty ETF,"['Good', '75percent bluechip and good in equity']"
173,Motilal Oswal Nifty Smallcap 250 ETF,"['Good', '75percent bluechip and good in equity']"
174,Nippon India BSE Sensex Next 30 ETF,"['Bluechip/Good', '70percent bluechip in equity']"
175,Nippon India ETF Gold BeES,"['Good', '90percent gold']"
176,Nippon India ETF Hang Seng BeES,"['Average', '90percent Foreign Equity']"
177,Nippon India ETF Nifty 100,"['Bluechip/Good', '70percent bluechip in equity']"
178,Nippon India ETF Nifty 1D Rate Liquid BeES,"['Good', '90percent rev_repo']"
179,Nippon India ETF Nifty 5 yr Benchmark G-Sec,"['Good', '90percent gsec']"
180,Nippon India ETF Nifty 50 BeES,"['Bluechip/Good', '70percent bluechip in equity']"
181,Nippon India ETF Nifty 50 Shariah BeES,"['Bluechip/Good', '70percent bluechip in equity']"
182,Nippon India ETF Nifty 50 Value 20,"['Bluechip/Good', '70percent bluechip in equity']"
183,Nippon India ETF Nifty 8-13 yr G-Sec Long Term Gilt,"['Good', '90percent gsec']"
184,Nippon India ETF Nifty Bank BeES,"['Good', '75percent bluechip and good in equity']"
185,Nippon India ETF Nifty Dividend Opportunities 50,"['Bluechip/Good', '70percent bluechip in equity']"
186,Nippon India ETF Nifty IT,"['Bluechip/Good', '70percent bluechip in equity']"
187,Nippon India ETF Nifty India Consumption,"['Bluechip/Good', '70percent bluechip in equity']"
188,Nippon India ETF Nifty Infrastructure BeES,"['Bluechip/Good', '70percent bluechip in equity']"
189,Nippon India ETF Nifty Midcap 150,"['Good', '75percent bluechip and good in equity']"
190,Nippon India ETF Nifty Next 50 Junior BeES,"['Bluechip/Good', '70percent bluechip in equity']"
191,Nippon India ETF Nifty PSU Bank BeES,"['Bluechip/Good', '70percent bluechip in equity']"
192,Nippon India ETF Nifty SDL Apr 2026 Top 20 Equal Weight,"['Good', '90percent gsec']"
193,Nippon India Nifty Auto ETF,"['Bluechip/Good', '70percent bluechip in equity']"
194,Nippon India Nifty Pharma ETF,"['Bluechip/Good', '70percent bluechip in equity']"
195,Nippon India Silver ETF,"['notag', '90percent Silver']"
196,Quantum Gold Fund (G),"['Good', '90percent gold']"
197,Quantum Nifty 50 ETF,"['Bluechip/Good', '70percent bluechip in equity']"
198,SBI BSE PSU Bank ETF,"['Bluechip/Good', '70percent bluechip in equity']"
199,SBI Gold ETF,"['Good', '90percent gold']"
200,SBI Nifty 10 yr Benchmark G-Sec ETF,"['Good', '90percent gsec']"
201,SBI Nifty 1D Rate Liquid ETF - IDCW,"['Good', '90percent rev_repo']"
202,SBI Nifty 200 Quality 30 ETF,"['Bluechip/Good', '70percent bluechip in equity']"
203,SBI Nifty 50 ETF,"['Bluechip/Good', '70percent bluechip in equity']"
204,SBI Nifty Bank ETF,"['Good', '75percent bluechip and good in equity']"
205,SBI Nifty IT ETF,"['Bluechip/Good', '70percent bluechip in equity']"
206,SBI Nifty Next 50 ETF,"['Bluechip/Good', '70percent bluechip in equity']"
207,SBI Nifty Private Bank ETF,"['Bluechip/Good', '70percent bluechip in equity']"
208,SBI Nifty50 Equal Weight ETF,"['Bluechip/Good', '70percent bluechip in equity']"
209,SBI SILVER ETF,"['notag', '90percent Silver']"
210,Shriram Nifty 1D Rate Liquid ETF,"['Good', '90percent rev_repo']"
211,Tata Gold ETF,"['Good', '90percent gold']"
212,Tata Nifty 50 Exchange Traded Fund,"['Bluechip/Good', '70percent bluechip in equity']"
213,Tata Nifty India Digital Exchange Traded Fund,"['Good', '75percent bluechip and good in equity']"
214,Tata Nifty Private Bank ETF,"['Bluechip/Good', '70percent bluechip in equity']"
215,Tata Silver ETF,"['notag', '90percent Silver']"
216,UTI-BSE Sensex ETF,"['Bluechip/Good', '70percent bluechip in equity']"
217,UTI-BSE Sensex Next 50 ETF,"['Bluechip/Good', '70percent bluechip in equity']"
218,UTI-Gold ETF,"['Good', '90percent gold']"
219,UTI-Nifty 10 yr Benchmark G-Sec ETF,"['Good', '90percent gsec']"
220,UTI-Nifty 5 yr Benchmark G-Sec ETF,"['Good', '90percent gsec']"
221,UTI-Nifty 50 ETF,"['Bluechip/Good', '70percent bluechip in equity']"
222,UTI-Nifty Bank Exchange Traded Fund,"['Good', '75percent bluechip and good in equity']"
223,UTI-Nifty Midcap 150 ETF,"['Good', '75percent bluechip and good in equity']"
224,UTI-Nifty Next 50 ETF,"['Bluechip/Good', '70percent bluechip in equity']"
225,UTI-Silver Exchange Traded Fund,"['notag', '90percent Silver']"
226,Union Gold ETF,"['Good', '90percent gold']"
227,Zerodha Gold ETF,"['Good', '90percent gold']"
228,Zerodha Nifty 100 ETF,"['Bluechip/Good', '70percent bluechip in equity']"
229,Zerodha Nifty 1D Rate Liquid ETF,"['Good', '90percent rev_repo']"
230,Zerodha Nifty Midcap 150 ETF,"['Good', '75percent bluechip and good in equity']"
231,Zerodha Silver ETF,"['notag', '90percent Silver']"
